Series	Categories	Values	Category_Num
veh	Dap3	-0.1379030522892073	1035
veh	Dap3	0.4884503103963086	1035
veh	Dap3	0.08048901196295982	1035
oAB	Dap3	-0.12704296909166626	1035
oAB	Dap3	-0.015698713131062414	1035
oAB	Dap3	-0.028746623371225723	1035
gsk	Dap3	0.04611018836435096	1035
gsk	Dap3	-0.02162679923020788	1035
gsk	Dap3	-0.3810585267636478	1035
oAB-gsk	Dap3	-0.366127132257442	1035
oAB-gsk	Dap3	-0.21518046884477723	1035
oAB-gsk	Dap3	0.6189414732363523	1035
veh	Dapk3	0.06044911687356762	1036
veh	Dapk3	-0.8043302539069551	1036
veh	Dapk3	0.050308921330357186	1036
oAB	Dapk3	0.17769589329327212	1036
oAB	Dapk3	0.14118844736976757	1036
oAB	Dapk3	-0.17468010363753236	1036
gsk	Dapk3	-0.8001724121609962	1036
gsk	Dapk3	0.1956697460930448	1036
gsk	Dapk3	-0.14303861526464778	1036
oAB-gsk	Dapk3	0.09875013082786147	1036
oAB-gsk	Dapk3	0.15634852592010504	1036
oAB-gsk	Dapk3	0.10592446633585445	1036
